,pairs
121,SCUSDT
122,ZENUSDT
123,SNXUSDT
124,VTHOUSDT
125,DGBUSDT
126,GBPUSDT
127,SXPUSDT
128,MKRUSDT
129,DAIUSDT
130,DCRUSDT
131,STORJUSDT
132,MANAUSDT
133,AUDUSDT
134,YFIUSDT
135,BALUSDT
136,BLZUSDT
137,IRISUSDT
138,KMDUSDT
139,JSTUSDT
140,SRMUSDT
141,ANTUSDT
142,CRVUSDT
143,SANDUSDT
144,OCEANUSDT
145,NMRUSDT
146,DOTUSDT
147,LUNAUSDT
148,RSRUSDT
149,PAXGUSDT
150,WNXMUSDT
151,TRBUSDT
152,BZRXUSDT
153,SUSHIUSDT
154,YFIIUSDT
155,KSMUSDT
156,EGLDUSDT
157,DIAUSDT
158,RUNEUSDT
159,FIOUSDT
160,UMAUSDT
161,BELUSDT
162,WINGUSDT
163,UNIUSDT
164,NBSUSDT
165,OXTUSDT
166,SUNUSDT
167,AVAXUSDT
168,HNTUSDT
169,FLMUSDT
170,ORNUSDT
171,UTKUSDT
172,XVSUSDT
173,ALPHAUSDT
174,AAVEUSDT
175,NEARUSDT
176,FILUSDT
177,INJUSDT
178,AUDIOUSDT
179,CTKUSDT
180,AKROUSDT
181,AXSUSDT
182,HARDUSDT
183,DNTUSDT
184,STRAXUSDT
185,UNFIUSDT
186,ROSEUSDT
187,AVAUSDT
188,XEMUSDT
189,SKLUSDT
190,SUSDUSDT
191,GRTUSDT
192,JUVUSDT
193,PSGUSDT
194,1INCHUSDT
195,REEFUSDT
196,OGUSDT
197,ATMUSDT
198,ASRUSDT
199,CELOUSDT
200,RIFUSDT
201,BTCSTUSDT
202,TRUUSDT
203,CKBUSDT
204,TWTUSDT
205,FIROUSDT
206,LITUSDT
207,SFPUSDT
208,DODOUSDT
209,CAKEUSDT
210,ACMUSDT
211,BADGERUSDT
212,FISUSDT
213,OMUSDT
214,PONDUSDT
215,DEGOUSDT
216,ALICEUSDT
217,LINAUSDT
218,RAMPUSDT
219,SUPERUSDT
220,CFXUSDT
221,EPSUSDT
222,AUTOUSDT
223,TKOUSDT
224,PUNDIXUSDT
225,TLMUSDT
226,BTGUSDT
227,MIRUSDT
228,BARUSDT
229,FORTHUSDT
230,BAKEUSDT
231,BURGERUSDT
232,SLPUSDT
233,SHIBUSDT
234,ARUSDT
235,POLSUSDT
236,MDXUSDT
237,MASKUSDT
238,LPTUSDT
239,NUUSDT
240,XVGUSDT
241,ATAUSDT
242,GTCUSDT
243,TORNUSDT
244,KEEPUSDT
245,ERNUSDT
246,KLAYUSDT
247,PHAUSDT
248,BONDUSDT
249,MLNUSDT
250,DEXEUSDT
251,C98USDT
252,CLVUSDT
253,QNTUSDT
254,FLOWUSDT
255,TVKUSDT
256,MINAUSDT
257,RAYUSDT
258,FARMUSDT
259,ALPACAUSDT
260,QUICKUSDT
261,MBOXUSDT
262,FORUSDT
263,REQUSDT
264,GHSTUSDT
265,WAXPUSDT
266,TRIBEUSDT
267,GNOUSDT
268,XECUSDT
269,ELFUSDT
270,DYDXUSDT
271,POLYUSDT
272,IDEXUSDT
273,VIDTUSDT
274,GALAUSDT
275,ILVUSDT
276,YGGUSDT
277,SYSUSDT
278,DFUSDT
279,FIDAUSDT
280,FRONTUSDT
281,CVPUSDT
282,AGLDUSDT
283,RADUSDT
284,BETAUSDT
285,RAREUSDT
286,LAZIOUSDT
287,CHESSUSDT
288,ADXUSDT
289,AUCTIONUSDT
290,DARUSDT
291,BNXUSDT
292,RGTUSDT
293,MOVRUSDT
294,CITYUSDT
295,ENSUSDT
296,KP3RUSDT
297,QIUSDT
298,PORTOUSDT
299,POWRUSDT
300,VGXUSDT
301,JASMYUSDT
302,AMPUSDT
303,PLAUSDT
304,PYRUSDT
305,RNDRUSDT
306,ALCXUSDT
307,SANTOSUSDT
308,MCUSDT
309,ANYUSDT
310,BICOUSDT
311,FLUXUSDT
