TimeCET;pairs;interval;open;high;low;close;volume;lowma;fast100ma;fast50ma;rsi;rsima;max;buy
2022-07-13 00:05:00;ETHUSDT;5;1042.3;1046.1;1042.3;1044.35;3733.3627;0.0;0.0;0.0;0.0;0.0;;
2022-07-13 00:10:00;ETHUSDT;5;1044.35;1044.7;1041.16;1043.13;2559.7114;0.0;0.0;0.0;0.0;0.0;;
2022-07-13 00:15:00;ETHUSDT;5;1043.13;1047.14;1039.54;1046.32;4581.9466;0.0;0.0;0.0;0.0;0.0;;
2022-07-13 00:20:00;ETHUSDT;5;1046.33;1047.63;1045.08;1045.1;2387.5787;0.0;0.0;0.0;0.0;0.0;1046.32;
2022-07-13 00:25:00;ETHUSDT;5;1045.1;1048.03;1042.41;1047.99;3347.1071;0.0;0.0;0.0;0.0;0.0;1046.32;
2022-07-13 00:30:00;ETHUSDT;5;1047.99;1048.0;1045.67;1046.19;1859.3649;0.0;0.0;0.0;0.0;0.0;1047.99;
2022-07-13 00:35:00;ETHUSDT;5;1046.2;1049.4;1046.19;1047.55;2325.5742;0.0;0.0;0.0;0.0;0.0;1047.99;
2022-07-13 00:40:00;ETHUSDT;5;1047.55;1048.36;1045.64;1045.65;1480.6478;0.0;0.0;0.0;0.0;0.0;1047.99;
2022-07-13 00:45:00;ETHUSDT;5;1045.64;1046.38;1043.67;1044.6;1583.6234;0.0;0.0;0.0;0.0;0.0;1047.55;
2022-07-13 00:50:00;ETHUSDT;5;1044.6;1045.03;1041.29;1041.61;2817.9263;0.0;0.0;0.0;0.0;0.0;1047.55;
2022-07-13 00:55:00;ETHUSDT;5;1041.61;1043.02;1041.36;1042.97;5369.7762;0.0;0.0;0.0;0.0;0.0;1045.65;
2022-07-13 01:00:00;ETHUSDT;5;1042.96;1043.7;1041.38;1043.28;9367.5404;0.0;0.0;0.0;0.0;0.0;1044.6;
2022-07-13 01:05:00;ETHUSDT;5;1043.27;1045.54;1043.17;1044.89;5375.1823;0.0;0.0;0.0;0.0;0.0;1043.28;
2022-07-13 01:10:00;ETHUSDT;5;1044.9;1048.5;1044.79;1046.1;6506.7155;0.0;0.0;0.0;0.0;0.0;1044.89;
2022-07-13 01:15:00;ETHUSDT;5;1046.09;1048.73;1045.54;1047.63;6027.2222;0.0;0.0;0.0;56.93739424703937;4.066956731931383;1046.1;
2022-07-13 01:20:00;ETHUSDT;5;1047.62;1047.71;1042.47;1043.61;4707.6838;0.0;0.0;0.0;48.12431243124309;7.504407619877319;1047.63;
2022-07-13 01:25:00;ETHUSDT;5;1043.62;1043.88;1042.0;1042.27;6954.1506;0.0;0.0;0.0;45.59108837865584;10.76091393263845;1047.63;
2022-07-13 01:30:00;ETHUSDT;5;1042.26;1045.3;1042.17;1042.64;3172.4336;0.0;0.0;0.0;46.4296123136711;14.077314812186387;1047.63;
2022-07-13 01:35:00;ETHUSDT;5;1042.63;1043.58;1040.45;1043.29;3976.2659;0.0;0.0;0.0;47.94730880192575;17.502122583752513;1043.61;
2022-07-13 01:40:00;ETHUSDT;5;1043.3;1044.88;1041.12;1041.99;4918.7092;0.0;0.0;0.0;45.1898099889775;20.72996615439376;1043.29;
2022-07-13 01:45:00;ETHUSDT;5;1042.0;1045.28;1041.0;1041.92;6152.8842;0.0;0.0;0.0;45.039604764032966;23.947080780396114;1043.29;
2022-07-13 01:50:00;ETHUSDT;5;1041.92;1042.18;1035.3;1038.82;7187.5429;0.0;0.0;0.0;38.87673921266165;26.72399072415766;1043.29;
2022-07-13 01:55:00;ETHUSDT;5;1038.81;1039.12;1035.54;1038.58;13322.9636;0.0;0.0;0.0;38.43822299881289;29.469578081215722;1041.99;
2022-07-13 02:00:00;ETHUSDT;5;1038.58;1041.08;1036.23;1040.62;7314.6335;0.0;0.0;0.0;44.19972567001479;32.626701343359635;1041.92;
2022-07-13 02:05:00;ETHUSDT;5;1040.61;1041.08;1035.58;1040.45;8007.1388;0.0;0.0;0.0;43.8315837940302;35.757528757218935;1040.62;
2022-07-13 02:10:00;ETHUSDT;5;1040.45;1043.36;1037.41;1041.64;5234.9976;0.0;0.0;0.0;47.14994612639581;39.125382051961495;1040.62;
2022-07-13 02:15:00;ETHUSDT;5;1041.65;1044.5;1039.66;1041.21;3290.5987;0.0;0.0;0.0;46.09033223540417;42.41754864020465;1041.64;
2022-07-13 02:20:00;ETHUSDT;5;1041.21;1045.48;1039.19;1041.48;4092.5772;0.0;0.0;0.0;46.89731253916827;45.76735667871667;1041.64;
2022-07-13 02:25:00;ETHUSDT;5;1041.48;1043.8;1041.23;1042.97;9735.7225;0.0;0.0;0.0;51.235490166736895;45.360077815837926;1041.64;
2022-07-13 02:30:00;ETHUSDT;5;1042.97;1046.46;1042.39;1045.11;7587.4208;0.0;0.0;0.0;56.70603274101047;45.97305783796417;1042.97;
2022-07-13 02:35:00;ETHUSDT;5;1045.12;1046.71;1043.35;1046.23;4965.0371;0.0;0.0;0.0;59.28067025296687;46.95088511470067;1045.11;
2022-07-13 02:40:00;ETHUSDT;5;1046.23;1046.28;1043.24;1046.0;8510.5473;0.0;0.0;0.0;58.511146879322915;47.813851869390085;1046.23;
2022-07-13 02:45:00;ETHUSDT;5;1046.0;1046.0;1043.5;1044.03;7289.2835;0.0;0.0;0.0;52.254321983890506;48.12149566810185;1046.23;
